Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NOK,NOK,NOK,NOK,NOK,,,
2022-02-04,2022,2,4,Friday,05,2022-05,5.15,5.19,5.08,5.13,24880000,-0.001748242338052819,5.122142857142856,5.3136
2022-02-07,2022,2,7,Monday,06,2022-06,5.08,5.18,5.08,5.15,23069500,0.0035026080838513884,5.1207142857142856,5.313199999999999
2022-02-08,2022,2,8,Tuesday,06,2022-06,5.09,5.14,5.08,5.11,15663800,-0.006980857924862138,5.117142857142857,5.3156
2022-02-09,2022,2,9,Wednesday,06,2022-06,5.15,5.18,5.13,5.18,13622400,0.014059959068480898,5.1257142857142854,5.318200000000001
2022-02-10,2022,2,10,Thursday,06,2022-06,5.09,5.18,5.06,5.08,21150500,-0.020797388235393677,5.135,5.3191999999999995
2022-02-11,2022,2,11,Friday,06,2022-06,5.09,5.16,4.96,4.98,28640500,-0.019469110192514183,5.138571428571429,5.319
2022-02-14,2022,2,14,Monday,07,2022-07,4.92,4.94,4.81,4.88,27289200,-0.019855491027621186,5.130000000000001,5.313400000000001
2022-02-15,2022,2,15,Tuesday,07,2022-07,4.95,5.05,4.95,5.03,29911500,0.03130757783024474,5.131428571428572,5.3124
2022-02-16,2022,2,16,Wednesday,07,2022-07,5.16,5.25,5.16,5.25,27841300,0.04285710087752426,5.147857142857143,5.3152
2022-02-17,2022,2,17,Thursday,07,2022-07,5.16,5.19,5.05,5.08,21700700,-0.03253425389069131,5.143571428571429,5.3108
2022-02-18,2022,2,18,Friday,07,2022-07,5.11,5.13,5.04,5.08,26626000,0.0017699959797161657,5.127857142857144,5.3072
2022-02-22,2022,2,22,Tuesday,08,2022-08,4.95,5.03,4.89,4.95,33156700,-0.02650181019859943,5.1000000000000005,5.2986
2022-02-23,2022,2,23,Wednesday,08,2022-08,4.99,5.01,4.82,4.83,40536600,-0.02359333913563222,5.062142857142858,5.286999999999999
2022-02-24,2022,2,24,Thursday,08,2022-08,4.61,4.85,4.6,4.84,46599900,0.0018587257891049536,5.040714285714286,5.2764
2022-02-25,2022,2,25,Friday,08,2022-08,4.89,4.93,4.86,4.89,38478900,0.009276485172258653,5.0235714285714295,5.2672
2022-02-28,2022,2,28,Monday,09,2022-09,4.8,4.87,4.73,4.81,36567100,-0.01654412320772325,4.999285714285714,5.2532
2022-03-01,2022,3,1,Tuesday,09,2022-09,4.75,4.77,4.62,4.65,37545500,-0.03177572281911012,4.966428571428572,5.237399999999999
2022-03-02,2022,3,2,Wednesday,09,2022-09,4.7,4.82,4.65,4.79,28706000,0.028957471189688055,4.938571428571428,5.2252
2022-03-03,2022,3,3,Thursday,09,2022-09,4.63,4.64,4.44,4.46,51214000,-0.06941840461664606,4.894285714285714,5.2082
2022-03-04,2022,3,4,Friday,09,2022-09,4.27,4.36,4.26,4.31,34027800,-0.03225799546839003,4.846428571428571,5.187200000000001
2022-03-07,2022,3,7,Monday,10,2022-10,4.28,4.29,4.05,4.07,47979400,-0.05625013132735179,4.788571428571429,5.158200000000001
2022-03-08,2022,3,8,Tuesday,10,2022-10,4.24,4.33,4.14,4.23,50710900,0.03973511951495601,4.731428571428572,5.1316
2022-03-09,2022,3,9,Wednesday,10,2022-10,4.4,4.46,4.35,4.41,36989000,0.042463066112790715,4.671428571428572,5.1058
